ID,RUN,Trial ,PostRT,PreRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,Order_Session,PreITI1duration,PostITI1duration
92201,3,RUN3-22,556,391,Source hit,1,1,1,Stimuli\papertray.jpg,Left,Stationary,4,6000,2000
92201,3,RUN3-23,352,556,Source hit,1,1,1,Stimuli\shermometer02b.jpg,Left,Household article,4,2000,2000
92201,3,RUN3-24,308,352,Source hit,1,1,1,Stimuli\chalk.jpg,Left,Stationary,4,2000,4000
92201,3,RUN3-25,337,308,Source hit,1,1,1,Stimuli\usbcable01a.jpg,Right,Electronics,4,4000,2000
92201,3,RUN3-26,183,337,Source hit,1,1,1,Stimuli\windmill.jpg,Right,Building infrastructure,4,2000,4000
92201,3,RUN3-27,415,183,Source hit,1,1,1,Stimuli\broom01.jpg,Right,Household article,4,4000,4000
92201,3,RUN3-28,387,415,Source hit,1,1,1,Stimuli\ballofstring.jpg,Right,Household article,4,4000,6000
92201,3,RUN3-29,0,387,Source hit,1,1,1,Stimuli\glasses01a.jpg,Right,Clothing,4,6000,2000
92201,3,RUN3-30,277,0,Source hit,1,1,1,Stimuli\rawchicken.jpg,Left,Food,4,2000,2000
92201,3,RUN3-31,291,277,miss,4,0,0,Stimuli\fluorescentlightbulb.jpg,Left,Electronics,4,2000,6000
92201,3,RUN3-32,317,291,Source hit,1,1,1,Stimuli\windshieldwiper02.jpg,Left,Vehicle,4,6000,2000
92201,3,RUN3-33,304,317,Source miss,3,0,1,Stimuli\safarihat.jpg,Right,Clothing,4,2000,4000
92201,3,RUN3-34,297,304,Source miss,3,0,1,Stimuli\pot02a.jpg,Left,Kitchen,4,4000,6000
92201,3,RUN3-35,421,297,miss,4,0,0,Stimuli\shorts01.jpg,Left,Clothing,4,6000,2000
92201,3,RUN3-36,268,421,No response,0,0,0,Stimuli\jack.jpg,Left,Electronics,4,2000,4000
92201,3,RUN3-37,296,268,miss,4,0,0,Stimuli\Saillight.jpg,Right,Vehicle,4,4000,6000
92201,3,RUN3-38,337,296,Source miss,3,0,1,Stimuli\highstrikergame.jpg,Right,Game & entertainment,4,6000,4000
92201,3,RUN3-39,531,337,Source miss,3,0,1,Stimuli\birthdaycandle.jpg,Left,Decorations & Gift,4,4000,2000
92201,3,RUN3-40,388,531,miss,4,0,0,Stimuli\lectern01.jpg,Right,Electronics,4,2000,6000
92201,3,RUN3-41,341,388,Source miss,3,0,1,Stimuli\horseshoe.jpg,Right,Game & entertainment,4,6000,2000
92201,3,RUN3-42,348,341,miss,4,0,0,Stimuli\fork03c.jpg,Right,Kitchen,4,2000,4000
92201,3,RUN3-43,454,348,Source miss,3,0,1,Stimuli\bagofpowder.jpg,Left,Food,4,4000,6000
92201,3,RUN3-44,437,454,miss,4,0,0,Stimuli\boatmotor.jpg,Right,Outdoor & sport,4,6000,2000
92201,3,RUN3-45,457,437,miss,4,0,0,Stimuli\steeringwheel.jpg,Right,Vehicle,4,2000,6000
92201,3,RUN3-46,302,457,Source miss,3,0,1,Stimuli\gamepiece.jpg,Left,Game & entertainment,4,6000,4000
