Index,ID,RUN,Trial,PreRT,PostRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,RET_RT,Order_Session,PreITI1duration,PostITI1duration
3843,52991,4,RUN4-37,254,241,Source hit,1,1,1,Stimuli\bag.jpg,Left,Stationary,798,3,4000,4000
3844,52991,4,RUN4-38,241,255,Source hit,1,1,1,Stimuli\dumptruck.jpg,Right,Vehicle,805,3,4000,6000
3845,52991,4,RUN4-39,255,248,Source hit,1,1,1,Stimuli\grill.jpg,Right,Kitchen,825,3,6000,6000
3846,52991,4,RUN4-40,248,251,Source hit,1,1,1,Stimuli\sponge01.jpg,Right,Household article,776,3,6000,6000
3847,52991,4,RUN4-41,251,256,Source hit,1,1,1,Stimuli\gong.jpg,Right,Musical instrument,783,3,6000,4000
3848,52991,4,RUN4-42,256,241,Source hit,1,1,1,Stimuli\woodenshoe.jpg,Left,Clothing,744,3,4000,6000
3849,52991,4,RUN4-43,241,268,Source hit,1,1,1,Stimuli\wheelchair.jpg,Right,Vehicle,802,3,6000,6000
3850,52991,4,RUN4-44,268,308,Source hit,1,1,1,Stimuli\sumber3.jpg,Right,Game & entertainment,788,3,6000,4000
3851,52991,4,RUN4-45,308,329,Source hit,1,1,1,Stimuli\marble.jpg,Left,Game & entertainment,752,3,4000,2000
3852,52991,4,RUN4-46,329,292,Source hit,1,1,1,Stimuli\shoulderpad.jpg,Right,Outdoor & sport,838,3,2000,2000
3853,52991,4,RUN4-47,292,243,Source hit,1,1,1,Stimuli\road02.jpg,Right,Building infrastructure,801,3,2000,6000
3854,52991,4,RUN4-48,243,277,Source hit,1,1,1,Stimuli\photocopier.jpg,Left,Electronics,850,3,6000,6000
3855,55862,1,RUN1-2,215,261,No response,0,0,0,Stimuli\mushroom01.jpg,Left,Food,NA,3,4000,2000
3856,55862,1,RUN1-3,261,345,Source hit,1,1,1,Stimuli\snowman.jpg,Left,Outdoor & sport,958,3,2000,2000
3857,55862,1,RUN1-4,345,242,Source hit,1,1,1,Stimuli\poloshirt.jpg,Left,Clothing,895,3,2000,2000
3858,55862,1,RUN1-5,242,290,No response,0,0,0,Stimuli\audiocablesplitter.jpg,Left,Electronics,NA,3,2000,4000
3859,55862,1,RUN1-6,290,0,Source hit,1,1,1,Stimuli\springroll.jpg,Right,Food,2964,3,4000,4000
